type,category,blocks,nifs,verdict,examples
NiKeyframeController,controller,28244,1853,"NEXT  rigid TRS anim -> host matrix from sim time (banners/doors/machines)","loose:almsivi_brazier.nif; loose:almsivi_brazier2.nif; loose:amalexia_summon.nif; loose:epos_kha_upr_anim_f.nif; loose:epos_kha_upr_anim_m.nif"
NiParticleSystemController,controller,3217,1205,"REPLACE  particle sim+sort; not migratable -> procedural shader (Part C; deferred)","loose:@nb_bm_ka_bluefire.nif; loose:amalexia_summon.nif; loose:ashcloud.nif; loose:blightcloud.nif; loose:blizzard.nif"
NiParticleGrowFade,particle,3007,1144,"","loose:@nb_bm_ka_bluefire.nif; loose:amalexia_summon.nif; loose:ashcloud.nif; loose:blightcloud.nif; loose:bloodsplat.nif"
NiGeomMorpherController,controller,2275,1522,"PARTIAL  vertex morph; heads reship by design; statics could bake","loose:xwere_morph.nif; loose:xwere_morph01.nif; loose:@_NIF/057.nif; loose:@_NIF/088.nif; loose:abot/ss/ab01strider02.nif"
NiRotatingParticles,particle,2266,823,"","loose:@nb_bm_ka_bluefire.nif; loose:chimney_smoke02.nif; loose:chimney_smoke_green.nif; loose:chimney_smoke_small.nif; loose:fire_small.nif"
NiRotatingParticlesData,particle,2175,770,"","loose:@nb_bm_ka_bluefire.nif; loose:chimney_smoke02.nif; loose:chimney_smoke_green.nif; loose:chimney_smoke_small.nif; loose:fire_small.nif"
NiUVController,controller,1494,667,"DONE  host-migrated 2026-07-17 (UV scroll from sim time)","loose:@nb_bm_ka_bluefire2.nif; loose:@nb_bm_ka_bluefire3.nif; loose:In_WinJamb_C_Plain_Bay.NIF; loose:In_WinJamb_C_Plain_Rec.NIF; loose:In_WinJamb_C_Plain_Tri.NIF"
NiVisController,controller,1084,264,"CHEAP  per-key visibility -> host draw-cull flag","loose:@_NIF/002.nif; loose:@_NIF/004.nif; loose:@_NIF/009.nif; loose:@_NIF/010.nif; loose:@_NIF/011.nif"
NiAutoNormalParticles,particle,1036,440,"","loose:amalexia_summon.nif; loose:ashcloud.nif; loose:blightcloud.nif; loose:blizzard.nif; loose:bloodsplat.nif"
NiAlphaController,controller,1018,145,"CHEAP  animated alpha -> host per-draw alpha from sim time","loose:spriggan_summon.nif; loose:were_morph.nif; loose:were_morph01.nif; loose:xspriggan_summon.nif; loose:xwere_morph.nif"
NiParticles,particle,853,26,"","loose:@_NIF/019.nif; loose:@_NIF/021.nif; loose:@_NIF/022.nif; loose:@_NIF/024.nif; loose:@_NIF/025.nif"
NiParticlesData,particle,849,24,"","loose:@_NIF/019.nif; loose:@_NIF/021.nif; loose:@_NIF/022.nif; loose:@_NIF/024.nif; loose:@_NIF/025.nif"
NiAutoNormalParticlesData,particle,765,361,"","loose:amalexia_summon.nif; loose:ashcloud.nif; loose:blightcloud.nif; loose:blizzard.nif; loose:bloodsplat.nif"
NiGravity,particle,426,223,"","loose:ashcloud.nif; loose:blightcloud.nif; loose:blizzard.nif; loose:bloodsplat.nif; loose:chimney_smoke02.nif"
NiParticleColorModifier,particle,265,173,"","loose:bloodsplat.nif; loose:chimney_smoke02.nif; loose:chimney_smoke_small.nif; loose:steam_bluegreen.nif; loose:steam_lavariver.nif"
NiParticleRotation,particle,204,121,"","loose:@nb_bm_ka_bluefire.nif; loose:blizzard.nif; loose:snow.nif; loose:were_morph.nif; loose:were_morph01.nif"
NiFlipController,controller,135,131,"CHEAP  texture-flip -> host bindless slot swap from sim time","loose:@_NIF/003.nif; loose:@_NIF/073.nif; loose:@_NIF/109.nif; loose:cap/nb_ex_vivec_p_water_01.nif; loose:hr/f/hr_furn_bathhbarrel_01.nif"
NiPathController,controller,131,23,"MED   path-follow TRS -> host; needs NiPosData+NiFloatData","loose:spriggan_summon.nif; loose:xspriggan_summon.nif; loose:@_NIF/031.nif; loose:oaab/e/magic_cast_myst.nif; loose:oaab/e/xmagic_cast_myst.nif"
NiBSPArrayController,controller,126,62,"REPLACE  particle array; not migratable -> procedural shader (Part C; deferred)","loose:@_NIF/002.nif; loose:@_NIF/025.nif; loose:@_NIF/038.nif; loose:@_NIF/039.nif; loose:@_NIF/040.nif"
NiMaterialColorController,controller,64,50,"CHEAP  animated material colour -> host material from sim time","loose:@_NIF/026.nif; loose:@_NIF/051.nif; loose:@_NIF/060.nif; loose:@_NIF/083.nif; loose:@_NIF/097.nif"
NiPlanarCollider,particle,23,12,"","loose:@_NIF/041.nif; loose:@_NIF/044.nif; loose:@_NIF/053.nif; loose:@_NIF/054.nif; loose:@_NIF/056.nif"
NiParticleBomb,particle,17,6,"","loose:@_NIF/021.nif; loose:@_NIF/022.nif; loose:@_NIF/023.nif; loose:@_NIF/041.nif; loose:@_NIF/090.nif"
NiLookAtController,controller,9,3,"","loose:@_NIF/005.nif; loose:@_NIF/030.nif; loose:@_NIF/032.nif"
NiLightColorController,controller,2,1,"","loose:@_NIF/027.nif"
NiRollController,controller,1,1,"CHEAP  spin about axis -> host matrix from sim time","loose:oaab/c/amulet_dwe_clock.nif"
